,Date,Username,Tweet,Lokasi
74,2023-03-02 06:34:47+00:00,"@jokowi 
@bambangsoesatyo 
@puanmaharani_ri 
@nadiemmakarim 
@setkabgoid https://t.co/Qk01YeAMDs",therick_leo6868,
75,2023-03-02 06:12:06+00:00,"JANGAN PURA-PURA BUTA HURUF MBAK! 
600 PRT Surati Ketua DPR RI, Mbak Puan Maharani, Minta Pengesahan RUU PPRT 

https://t.co/ZgvIUXEnJA 

Segera Sahkan RUU PPRT !

@DPR_RI @puanmaharani_ri @evndari @riekediahp @Dita_Sari_ @Rerie_Moerdijat @adityawilly @cumarachel @netty_heryawan",RichardWPS,"Deli Serdang, Sumatera Utara"
76,2023-03-02 06:10:19+00:00,"@BetaEpsilonPhi perut sama tapi no.urut 1 ngapain semahal itu makanannya..teladannya mana?
#reformasibirokrasi 
@KASN_RI @KPK_RI @KemenkeuRI @prastow @jokowi @mohmahfudmd @KemensetnegRI @pramonoanung @puanmaharani_ri @kempanrb @muhadjir_ef @PNS_Ababil",AikHoki,
77,2023-03-02 06:07:47+00:00,"Surat untuk Ketua @DPR_RI  @puanmaharani_ri  Mengapa RUU Perlindungan PRT tak juga disahkan 

 https://t.co/SIgFGBbZW1",inidataid_,Indonesia Capital Region
78,2023-03-02 06:01:31+00:00,"Ini namanya pecinta susu tampa pakai gelas namanya.jmn pk @jokowi semua kasus besar terbongkar suatu prestasi yg tdk dimiliki presiden sebelumnya
Cc @mohmahfudmd @ListyoSigitP @ST_Burhanuddin @KPK_RI @KejaksaanRI @puanmaharani_ri @prastow @DPR_RI @jansen_jsp @Fahrihamzah @KPU_ID",Hendrikorachman,
79,2023-03-02 05:44:01+00:00,@puanmaharani_ri Ga presiden ga anda bisanya mengerjakan tugas RT? 🤣🤣🤣 ntar ada suara2 sumbang dari warga kalau sertifikat nya cuma prank. https://t.co/ccjS7KfwZJ,PKI_PERJUANGAN_,"Negara Batin, Indonesia"
80,2023-03-02 05:42:55+00:00,"Napa monopoli/oligopoli swasta tdk boleh selain negara, tujuannya uang yg beredar bisa menjalankan roda perekonomian. Mau berapa byk org kaya hamburkan uang, paling maks 5% dari peredaran uang
Cc @jokowi @RamliRizal @mohmahfudmd @bahlillahadalia @prastow @puanmaharani_ri @KPK_RI",Hendrikorachman,
81,2023-03-02 05:23:50+00:00,"AYO AYO AMNESTI PAJAK LAGI LAH! BIAR SANTAI!
AMNESTI LAGI YOOH AYOOH
@prabowo @ganjarpranowo @aniesbaswedan @erickthohir @jokowi @Pak_JK @SBYudhoyono @AgusYudhoyono @puanmaharani_ri @PDI_Perjuangan @NasDem @Gerindra @PartaiPerindo",pokdarnasional,ling ling wey
82,2023-03-02 05:10:17+00:00,"@jokoanwar Pada rumput yg bergoyang.
Makanya..HUKUM urusan KORUPSI di Indonesia itu cuma basa basi..TELEKKKK !!!
@DPR_RI 
@PDI_Perjuangan 
@psi_id 
@basuki_btp 
@jokowi 
@puanmaharani_ri",Ine_Dwine,
83,2023-03-02 05:07:55+00:00,@Namaku_Ibrahim @puanmaharani_ri 😏😏,Musramidal67,
84,2023-03-02 05:06:52+00:00,@lovehateloveone Monggo mas -&gt; @puanmaharani_ri,dan_kenapa,Karawang
85,2023-03-02 04:57:23+00:00,"@Pugsemmulyano mrk tetap tdk merasakan TPP/Inseda dibayar telat bahkan ada yg hangus 4-6bulan/thn di PEMDA..
#baladaPNSPemda @KASN_RI @kemendagri @kempanrb @KemensetnegRI @KSPgoid @KPK_RI @jokowi @PNS_Ababil @puanmaharani_ri @prastow @bpkri @BPKPgoid",AikHoki,
86,2023-03-02 04:49:03+00:00,@puanmaharani_ri Puan layak jadi capres @PDI_Perjuangan,ubinhasnanto1,
87,2023-03-02 04:28:46+00:00,@puanmaharani_ri Masih banyak korban bencana Cianjur yg beum mendapat bantuan rumah dan masih tidur ditenda,dewi_korawati,Indonesia tangerang selatan
88,2023-03-02 04:26:33+00:00,"Rumah bantuan untuk korban gempa Cianjur tidak bisa diperjual belikan. Hal ini ditegaskan oleh Ketua DPR RI, Puan Maharani saat mendatangi warga Kampung Kerta, Desa Mangunkerta, Kecamatan Cugenang
https://t.co/9KfCeNTs7P",cianjurekspres,"Cianjur, Indonesia"
89,2023-03-02 04:19:07+00:00,"mantabs mbk @puanmaharani_ri  
tipelogi pemimpin spt anda yg baik.. dan diharapkan masy.. bukan pencitraan main tiktok @ganjarpranowo  @Miduk17",apr76499232,Jakarta
90,2023-03-02 04:09:28+00:00,"@Emu7715 @Miduk17 @puanmaharani_ri Ooh siape die .. cuman satu dari milyaran netizens, ade ngaruhnye?",hayanaqu,
91,2023-03-02 03:48:52+00:00,@puanmaharani_ri yg posting dia yg komen juga dia yg kasih tanggapan juga dia &amp; yg menyimpulkan juga dia 🤣🤣🤣🤣🤣 LAWAKAN KONOHA,mulyadan2020,
92,2023-03-02 03:30:44+00:00,"Ketua DPR RI Puan Maharani:Dalam Pengurusan Sertifikat Tanah Jangan Ada Pungli!
https://t.co/M3E2i5tDef",tengkumafnil,Indonesia
93,2023-03-02 02:58:47+00:00,"@iyhmdwfery @RajaJuliAntoni @TjahjantoHadi @puanmaharani_ri Zona apa pak sawahya? Hijau, kuning, merah?",satria_preda,
94,2023-03-02 02:58:01+00:00,"@RajaJuliAntoni @TjahjantoHadi @puanmaharani_ri Program ini keknya dr jaman 2012 udah ada. Mulai dr larasita, prona, ptsl.  Prosesnya sm, syarat sm. Cm dl kl udah jd ya tgl serahin k pemegang hak milik. Bs ambil d bpn dgn nunjukin BP ato di kelurahan. Kl skr modelan ky gini biar apa?",satria_preda,
95,2023-03-02 02:55:16+00:00,"JANGAN PURA-PURA BUTA HURUF MBAK..! 600 PRT Surati Ketua DPR RI, Mbak Puan Maharani, Minta Pengesahan RUU PPRT https://t.co/CMvRwI9OR6",bergeloralah,
